donor,lobe,stage,N_hep,E_raw,gene,k_raw_pos,frac_raw_pos,M_raw,UMIs_per_10k
15,Right,NASH w/o cirrhosis,976,5141793,ADH4,922,0.944672131147541,8698,16.91627803764173
15,Right,NASH w/o cirrhosis,976,5141793,ADH1B,872,0.8934426229508197,7659,14.895582144205338
15,Right,NASH w/o cirrhosis,976,5141793,AKR1D1,610,0.625,1978,3.8469071003052826
15,Right,NASH w/o cirrhosis,976,5141793,SLCO1B3,631,0.6465163934426229,5214,10.1404315576298
15,Right,NASH w/o cirrhosis,976,5141793,GLUL,87,0.08913934426229508,176,0.3422930483588118
15,Right,NASH w/o cirrhosis,976,5141793,CYP3A4,504,0.5163934426229508,2276,4.426471466276452
15,Right,NASH w/o cirrhosis,976,5141793,LGR5,102,0.10450819672131148,172,0.3345136608961115
15,Right,NASH w/o cirrhosis,976,5141793,AXIN2,44,0.045081967213114756,49,0.09529749641807829
15,Right,NASH w/o cirrhosis,976,5141793,PCK1,318,0.32581967213114754,736,1.4314072931368493
15,Right,NASH w/o cirrhosis,976,5141793,ALDOB,881,0.9026639344262295,6184,12.026933017334615
15,Right,NASH w/o cirrhosis,976,5141793,HAL,200,0.20491803278688525,541,1.0521621543302113
15,Right,NASH w/o cirrhosis,976,5141793,ASS1,812,0.8319672131147541,6045,11.75659930300578
15,Right,NASH w/o cirrhosis,976,5141793,CPS1,943,0.9661885245901639,13879,26.992529648704256
15,Right,NASH w/o cirrhosis,976,5141793,ARG1,566,0.5799180327868853,1325,2.5769220970194637
15,Right,NASH w/o cirrhosis,976,5141793,FOS,0,0.0,0,0.0
15,Right,NASH w/o cirrhosis,976,5141793,JUN,17,0.017418032786885244,20,0.03889693731350134
15,Right,NASH w/o cirrhosis,976,5141793,JUNB,7,0.007172131147540984,7,0.013613928059725468
15,Right,NASH w/o cirrhosis,976,5141793,JUND,49,0.050204918032786885,51,0.09918719014942842
15,Right,NASH w/o cirrhosis,976,5141793,ATF3,26,0.02663934426229508,29,0.05640055910457695
15,Right,NASH w/o cirrhosis,976,5141793,DUSP1,43,0.04405737704918033,48,0.09335264955240322
15,Right,NASH w/o cirrhosis,976,5141793,HSPA1A,6,0.006147540983606557,6,0.011669081194050402
15,Right,NASH w/o cirrhosis,976,5141793,HSPA1B,8,0.00819672131147541,8,0.015558774925400537
15,Right,NASH w/o cirrhosis,976,5141793,ACTB,47,0.04815573770491803,47,0.09140780268672816
15,Right,NASH w/o cirrhosis,976,5141793,GAPDH,48,0.04918032786885246,54,0.10502173074645361
15,Right,NASH w/o cirrhosis,976,5141793,B2M,114,0.1168032786885246,144,0.2800579486572097
15,Right,NASH w/o cirrhosis,976,5141793,ALB,962,0.985655737704918,16275,31.652382738861718
15,Right,NASH w/o cirrhosis,976,5141793,TTR,371,0.3801229508196721,790,1.536429023883303
15,Right,NASH w/o cirrhosis,976,5141793,APOA1,318,0.32581967213114754,449,0.8732362426881051
15,Right,NASH w/o cirrhosis,976,5141793,KRT7,3,0.0030737704918032786,3,0.005834540597025201
15,Right,NASH w/o cirrhosis,976,5141793,KRT19,0,0.0,0,0.0
15,Right,NASH w/o cirrhosis,976,5141793,EPCAM,17,0.017418032786885244,19,0.036952090447826276
15,Right,NASH w/o cirrhosis,976,5141793,SOX4,10,0.010245901639344262,10,0.01944846865675067
15,Right,NASH w/o cirrhosis,976,5141793,KRT23,1,0.0010245901639344263,1,0.001944846865675067
15,Right,NASH w/o cirrhosis,976,5141793,NCAM1,17,0.017418032786885244,18,0.03500724358215121
15,Right,NASH w/o cirrhosis,976,5141793,MUC1,0,0.0,0,0.0
15,Right,NASH w/o cirrhosis,976,5141793,BCL2,51,0.05225409836065574,85,0.1653119835823807
16,Right,NASH w/o cirrhosis,2149,19930344,CYP2E1,1888,0.8785481619357841,20992,10.532683229150486
16,Right,NASH w/o cirrhosis,2149,19930344,CYP1A2,291,0.1354118194509074,525,0.26341743022599107
16,Right,NASH w/o cirrhosis,2149,19930344,ADH4,2067,0.9618427175430433,27541,13.81862751591242
16,Right,NASH w/o cirrhosis,2149,19930344,ADH1B,1980,0.9213587715216379,16801,8.42985951471786
16,Right,NASH w/o cirrhosis,2149,19930344,AKR1D1,1509,0.7021870637505817,5157,2.5875117860484496
16,Right,NASH w/o cirrhosis,2149,19930344,SLCO1B3,1471,0.6845044206607724,15414,7.733935751435098
16,Right,NASH w/o cirrhosis,2149,19930344,GLUL,365,0.1698464402047464,589,0.2955292693392548
16,Right,NASH w/o cirrhosis,2149,19930344,CYP3A4,1273,0.5923685435086087,6760,3.3918130063384755
16,Right,NASH w/o cirrhosis,2149,19930344,LGR5,143,0.0665425779432294,320,0.16055919556631837
16,Right,NASH w/o cirrhosis,2149,19930344,AXIN2,113,0.05258259655653792,132,0.06623066817110633
16,Right,NASH w/o cirrhosis,2149,19930344,PCK1,1081,0.5030246626337832,3167,1.5890342886204072
