"","logFC","logCPM","F","PValue","FDR"
"PLSCR4",-0.968887042334826,5.80601180780233,11.6552372153987,0.00157617088163123,0.137407890306083
"CWF19L2",-0.509382396621173,6.77288317010629,11.6498048287909,0.00157754470524567,0.137407890306083
"BCAP31",0.900676098703492,3.61549377218232,11.4437546322003,0.00158677082191184,0.137407890306083
"NAT1",-0.677726511573489,6.45825664241994,11.6220219721225,0.00159658669907783,0.137407890306083
"AP001267.3",-1.49067451906,3.56961023428939,11.3956259521441,0.00160659644694556,0.137407890306083
"TNFRSF1B",1.18279871705137,4.47953757911089,11.5375033104047,0.0016219747576051,0.137407890306083
"AARS2",0.907350759661273,4.0792162382308,11.4911261567668,0.00162332057352692,0.137407890306083
"AL590652.1",2.59840535494467,2.31576002193295,11.0366531256696,0.00164398692787615,0.137407890306083
"AGPS",-0.878458493189558,6.22079282339291,11.5368650662083,0.00165360712270761,0.137407890306083
"C9orf72",-1.20152208888244,4.96530609078776,11.5067405945293,0.0016629719063883,0.137407890306083
"MRPL42",-0.599581885896022,4.95359677458845,11.4886992374531,0.00167782701762513,0.137407890306083
"SPTAN1",0.665434716180965,6.37317804423982,11.4989280474037,0.00167892567596697,0.137407890306083
"CYTH2",0.922746467340639,3.41496917155812,11.2832899301434,0.00168604082173539,0.137407890306083
"AC010230.1",-4.04792610671486,2.66981141872506,11.1314609939838,0.00168753074673639,0.137407890306083
"MAP4K5",-0.724353941695308,5.71553705476278,11.4649622494416,0.00170359199395456,0.137894815397599
"PACS2",0.587385641084523,5.67544763740572,11.4464897265701,0.00171413072102448,0.137894815397599
"ZNF205",1.21156371255255,3.59191500085777,11.1932304834403,0.00172157999953577,0.137894815397599
"ARHGDIA",1.56590447270199,4.04760936654257,11.2297955025831,0.00175057649198303,0.139459439669437
"PUF60",1.25859963333458,4.76617928177231,11.2935063360226,0.00179844230972871,0.140046726043758
"BCAM",1.24415829665865,3.13796530492037,11.0455439553653,0.00179861507665692,0.140046726043758
"CASZ1",1.1200691658632,3.97044921295525,11.2237645165429,0.00179944946168155,0.140046726043758
"MED23",-0.747503553475834,5.797562771661,11.3260590087747,0.00180305051200361,0.140046726043758
"AL445928.2",-1.9060457011953,4.26861387837602,11.2332503454244,0.00180546057459044,0.140046726043758
"LINC-PINT",-0.847956866174657,5.04771305545091,11.2883494216905,0.0018235130171869,0.140495409153657
"LYPLAL1",-0.731708512320779,6.94946235118804,11.2857740165395,0.00183031066342123,0.140495409153657
"NFASC",1.6164078304805,3.1724213655572,11.0180940630054,0.00185418312060474,0.141054686856432
"CTBP1",0.802230369164503,5.73099315317692,11.2186333631503,0.00188182474602093,0.141054686856432
"TANK",-0.688787574675139,7.33537432981959,11.2133709329111,0.00188477600044716,0.141054686856432
"SPIN3",-0.84159898123687,5.23761112683803,11.2074009507155,0.00188759276441901,0.141054686856432
"TSPAN17",1.53961858484516,2.69377272811911,10.8466823342645,0.0018900674439152,0.141054686856432
"LINC02484",-0.971293514691828,9.29657877335869,11.1869038289796,0.00190441962313921,0.141054686856432
"FAT1",1.16551926437006,5.84009564194358,11.1808179688292,0.00191612836313367,0.141054686856432
"ZNF714",1.69748763725947,2.78561446667542,10.806868154738,0.00192720685029642,0.141054686856432
"GASK1A",-0.972246637180129,6.26021123544295,11.1416158727831,0.00194478058975954,0.141054686856432
"PTCHD1-AS",2.39593268672839,3.91249879020358,11.1523364638791,0.00195126945272473,0.141054686856432
"DAB2IP",1.02842286902231,5.82576923535364,11.0925918222172,0.00198359138339301,0.141054686856432
"A2M",1.71204442746725,8.72861271049498,11.2857964156384,0.0019921973426942,0.141054686856432
"RASEF",2.12483518208473,2.77996254021411,10.7421225795228,0.00200042765176057,0.141054686856432
"EPB41L4A",1.43837816092466,6.18257195966527,11.1664130234151,0.00200182531120845,0.141054686856432
"GRAMD1B",1.63506677101314,2.43636887147602,10.6518928345118,0.00200315831158847,0.141054686856432
"ZC3H14",-0.440548002637243,7.09414766243217,11.0601498250143,0.00200835573469573,0.141054686856432
"FREM2",1.73801587982534,5.64291064663857,11.2021625194859,0.00201042035791463,0.141054686856432
"MICALL2",1.35434759674924,4.57378655541724,11.0095838990515,0.00201617458468003,0.141054686856432
"ATP8B4",-0.844652767817927,6.56354953301298,11.0489294248026,0.00201944218528343,0.141054686856432
"ASRGL1",2.05442726498499,2.17964246142606,10.5224323144311,0.00204030602792182,0.141839765280716
"TRPV6",2.9677036597588,1.33681090076191,10.6542617158495,0.00205923132911246,0.14247545784323
"SLC9A1",1.00522061179219,4.25783303223319,10.9286998814185,0.00206878463688772,0.14247545784323
"BBC3",1.66728715425421,2.92504587306971,10.5951981569562,0.00215570455462904,0.145837411581802
"MIR3681HG",2.22551011733961,4.23362609365394,10.935337298263,0.00218101469016592,0.145837411581802
"AC021242.2",-2.32787040177174,7.18525511783728,11.0701111081943,0.00218161614467663,0.145837411581802
"AC021736.1",-2.05895847557573,5.05826141262662,10.9068682376202,0.00218539201380315,0.145837411581802
"LGALS3BP",1.92543876497955,2.66214220135402,10.4931092411554,0.00218730904521957,0.145837411581802
"ENPP3",-1.47126530928218,4.15306402331646,10.7097120553601,0.00218845678324247,0.145837411581802
"MTERF1",-0.675856091652775,5.67994868645602,10.8358537197804,0.00220755193909568,0.145837411581802
"STPG2",-0.81631407669611,6.49149870820766,10.8341681001826,0.00220773730833795,0.145837411581802
"AXIN2",0.944953858724053,3.96763311453771,10.725877863485,0.00221516933634792,0.145837411581802
"CPT1B",1.20045534412267,4.64546253180233,10.7820712831992,0.00222332685437033,0.145837411581802
"FSTL1",1.69946810930301,2.70196272162303,10.4415305688417,0.00224588849188329,0.145837411581802
"CYTOR",2.66834457058543,2.63880189389374,10.3319282326722,0.00225416731443591,0.145837411581802
"CUL9",0.758438466492854,4.91763454027067,10.7619564679859,0.00225910687738876,0.145837411581802
"AC010319.4",-1.70222500976827,3.23571598531528,10.4897672888007,0.00226283801634645,0.145837411581802
"SLC25A24",2.2231068531731,1.8079904023456,10.1711158866566,0.00227590039860395,0.145837411581802
"MTRNR2L12",2.05243162816852,4.22976404609883,10.7404399321087,0.00227592649367719,0.145837411581802
"DCAF12",0.69143031052678,4.65599000244613,10.7163441369052,0.00228698724086926,0.145911766042992
"GSR",0.660910549271693,6.43799610233778,10.7374462840485,0.00229880331534569,0.146033462334331
"CHMP6",0.997144847932617,3.9887118583185,10.574781356635,0.00235361063122836,0.146693406685204
"FASTKD1",0.581043165178337,5.60700197384045,10.66733105467,0.00236720707030542,0.146693406685204
"EBLN2",-1.55104069684335,3.18142200941457,10.3946818131653,0.00236928880732393,0.146693406685204
"AC068987.2",-3.42400757152262,2.77941184927725,10.3241959246512,0.00236981193286348,0.146693406685204
"LAMC3",2.03934273015581,2.07999964848004,10.1588184982583,0.00237326869128485,0.146693406685204
"AC090617.4",-2.32058421246894,3.11941669348674,10.3483857259863,0.00238487637418403,0.146693406685204
"AC007179.1",1.86057742936586,2.09383568529804,10.1603585323906,0.0023982880414177,0.146693406685204
"BCHE",-0.982792546163086,7.09202953606699,10.62686857325,0.002405090506535,0.146693406685204
"STEAP2",-1.82409964616096,3.70996025569177,10.4376555958828,0.002411580801686,0.146693406685204
"FAM157C",1.70056049504592,3.26025388018862,10.3748444962086,0.00241265807897635,0.146693406685204
"EVC2",1.8903356180974,3.35463673244322,10.4210560188908,0.00241867945613411,0.146693406685204
"FIS1",0.882927845162793,4.44269018405975,10.5343673349731,0.00244944232035023,0.147264033218876
"AP001107.9",0.799954710790889,6.08529570061519,10.5759857523669,0.00245965579945644,0.147264033218876
"CTSS",1.37072324752289,3.87498885286915,10.4954996514299,0.00245975900262908,0.147264033218876
"TPI1",1.38691999853947,4.13457297969384,10.4756428081769,0.00246805646662114,0.147264033218876
"SLC49A3",1.70210194673728,2.37663662331508,10.1265079495736,0.00251185018441151,0.149272774265552
"AC096677.1",0.716072902545532,5.8842712811531,10.4441001563099,0.00259961362321839,0.153867893891537
"ACOT11",1.53956675975516,3.46398599323565,10.2455930303152,0.00261309074640837,0.153952801297583
"ODF2",1.06049804511828,4.51271907977933,10.3587742012592,0.00263212455817758,0.153952801297583
"B3GAT1",2.59076820261175,2.16345100762648,9.89276957994066,0.00263238607185446,0.153952801297583
"CPN2",0.740764747747798,4.87163600387775,10.3526542332384,0.00268076139800777,0.156162298355093
"SF3A1",0.753726526300159,3.9670997533627,10.2411550962012,0.00271195308294191,0.15735734069448
"MROH1",0.765899805997058,5.85982017475933,10.3277398187184,0.00272950428770261,0.157754643890828
"RELCH",-0.636786567875921,6.26376213389965,10.3183263510256,0.00274090906559333,0.157794991440291
"AL109838.1",-4.25515186877188,2.28227297546392,9.8374499694995,0.00280144647793889,0.16065259996834
