axis,level,program,bin,coord_mid,mean_expr,sem,n_donors,slope
stage,NAFLD,PC,7,-0.06861412787854097,0.9786341808997985,0.03948346016688569,7,0.11180914515008196
stage,NAFLD,PC,8,0.19818656918959845,1.0247819974420536,0.03249918911444776,7,0.11180914515008196
stage,NAFLD,PC,9,0.4762642226924544,1.0554607168393004,0.028414457264249314,7,0.11180914515008196
stage,NAFLD,PC,10,0.7823616059884713,1.1110233159272997,0.035511854617884774,7,0.11180914515008196
stage,NAFLD,PC,11,1.135681259527008,1.161107102971997,0.0325327406783642,7,0.11180914515008196
stage,NAFLD,PC,12,1.5517727774439234,1.2301169552372841,0.02978412233486836,7,0.11180914515008196
stage,NAFLD,PC,13,2.0862126457809085,1.311730614762028,0.025163485215744255,7,0.11180914515008196
stage,NAFLD,PC,14,4.223182751106757,1.4882609069317467,0.01956976057231074,7,0.11180914515008196
stage,NAFLD,PP,0,-4.467476349070802,1.6223804018363028,0.025492533607681323,7,-0.1324610436278241
stage,NAFLD,PP,1,-1.9603769606098451,1.4901544448551554,0.03400793715113314,7,-0.1324610436278241
stage,NAFLD,PP,2,-1.5156741757224914,1.4042900706969204,0.019856487706537824,7,-0.1324610436278241
stage,NAFLD,PP,3,-1.1661194898716438,1.3019061404595973,0.032987932697170895,7,-0.1324610436278241
stage,NAFLD,PP,4,-0.8643681640032277,1.271260947341063,0.03736124260596772,7,-0.1324610436278241
stage,NAFLD,PP,5,-0.5880345642986102,1.2020864296084037,0.03170982071058764,7,-0.1324610436278241
stage,NAFLD,PP,6,-0.32701056004417123,1.1781146227234802,0.03682252852009116,7,-0.1324610436278241
stage,NAFLD,PP,7,-0.06861412787854097,1.1289732790975884,0.04124845197043222,7,-0.1324610436278241
stage,NAFLD,PP,8,0.19818656918959845,1.0902660420876704,0.03295497376639211,7,-0.1324610436278241
stage,NAFLD,PP,9,0.4762642226924544,1.0235777250468607,0.026165046636616177,7,-0.1324610436278241
stage,NAFLD,PP,10,0.7823616059884713,0.9815019648698315,0.03648494078084594,7,-0.1324610436278241
stage,NAFLD,PP,11,1.135681259527008,0.9151786748364162,0.028346012005386275,7,-0.1324610436278241
stage,NAFLD,PP,12,1.5517727774439234,0.8548320638161003,0.029075277139161596,7,-0.1324610436278241
stage,NAFLD,PP,13,2.0862126457809085,0.7717053568795814,0.02450958767892993,7,-0.1324610436278241
stage,NAFLD,PP,14,4.223182751106757,0.6464574183270068,0.022712320536874404,7,-0.1324610436278241
stage,NASH,PC,0,-4.467476349070802,0.6259028453229726,0.017653785260548376,24,0.10816808930837787
stage,NASH,PC,1,-1.9603769606098451,0.6779357474475333,0.018316441815040996,27,0.10816808930837787
stage,NASH,PC,2,-1.5156741757224914,0.7236414999228361,0.01497440490368141,27,0.10816808930837787
stage,NASH,PC,3,-1.1661194898716438,0.7605370426237359,0.014467841523038715,27,0.10816808930837787
stage,NASH,PC,4,-0.8643681640032277,0.7981652705278056,0.014826015556486546,27,0.10816808930837787
stage,NASH,PC,5,-0.5880345642986102,0.8216932752859412,0.0140587991092184,27,0.10816808930837787
stage,NASH,PC,6,-0.32701056004417123,0.8657669834719718,0.015018998862503241,27,0.10816808930837787
stage,NASH,PC,7,-0.06861412787854097,0.9034415692132926,0.015035169481997894,27,0.10816808930837787
stage,NASH,PC,8,0.19818656918959845,0.9584253727776757,0.012971202663480287,27,0.10816808930837787
stage,NASH,PC,9,0.4762642226924544,0.9926900608359878,0.015391553819938803,27,0.10816808930837787
stage,NASH,PC,10,0.7823616059884713,1.043863244695176,0.013833267899912046,27,0.10816808930837787
stage,NASH,PC,11,1.135681259527008,1.104267471197711,0.01269396643796418,27,0.10816808930837787
stage,NASH,PC,12,1.5517727774439234,1.1611280922108513,0.014259195025677896,27,0.10816808930837787
stage,NASH,PC,13,2.0862126457809085,1.2669988048464556,0.012645098540826944,27,0.10816808930837787
stage,NASH,PC,14,4.223182751106757,1.4130932193033183,0.013171897215178576,27,0.10816808930837787
stage,NASH,PP,0,-4.467476349070802,1.609564348032335,0.026188877934341555,24,-0.13133061307115043
stage,NASH,PP,1,-1.9603769606098451,1.4584016005284293,0.01758515239373877,27,-0.13133061307115043
stage,NASH,PP,2,-1.5156741757224914,1.363644972477651,0.014160617750734149,27,-0.13133061307115043
stage,NASH,PP,3,-1.1661194898716438,1.2926969002292366,0.016317109968274915,27,-0.13133061307115043
stage,NASH,PP,4,-0.8643681640032277,1.227621814311435,0.013681565766414881,27,-0.13133061307115043
stage,NASH,PP,5,-0.5880345642986102,1.1666636594686899,0.01580309802905096,27,-0.13133061307115043
stage,NASH,PP,6,-0.32701056004417123,1.1287798971286989,0.014649446088547569,27,-0.13133061307115043
stage,NASH,PP,7,-0.06861412787854097,1.0802810612413092,0.01501153355752454,27,-0.13133061307115043
stage,NASH,PP,8,0.19818656918959845,1.0521875213439367,0.013027378245700771,27,-0.13133061307115043
stage,NASH,PP,9,0.4762642226924544,0.9923722773619233,0.014034354676813719,27,-0.13133061307115043
stage,NASH,PP,10,0.7823616059884713,0.9492741021312443,0.014210020817368121,27,-0.13133061307115043
stage,NASH,PP,11,1.135681259527008,0.8925981866202798,0.013984820702712496,27,-0.13133061307115043
stage,NASH,PP,12,1.5517727774439234,0.8215634746732827,0.015124701318677452,27,-0.13133061307115043
stage,NASH,PP,13,2.0862126457809085,0.7559883502834432,0.014117765691215813,27,-0.13133061307115043
stage,NASH,PP,14,4.223182751106757,0.6383258466186675,0.013426984874847649,27,-0.13133061307115043
stage,Cirrhosis,PC,0,-4.467476349070802,0.6799831464486908,0.059227161009993125,3,0.09560802349243581
stage,Cirrhosis,PC,1,-1.9603769606098451,0.711822565999897,0.040756409418758764,4,0.09560802349243581
stage,Cirrhosis,PC,2,-1.5156741757224914,0.7558960082822574,0.019215543601390578,4,0.09560802349243581
stage,Cirrhosis,PC,3,-1.1661194898716438,0.768015656821597,0.014610829999004349,4,0.09560802349243581
stage,Cirrhosis,PC,4,-0.8643681640032277,0.7988734815787677,0.03107420496412344,4,0.09560802349243581
stage,Cirrhosis,PC,5,-0.5880345642986102,0.8509197962019175,0.039334410009330405,4,0.09560802349243581
stage,Cirrhosis,PC,6,-0.32701056004417123,0.8544561962897743,0.026497932599545266,4,0.09560802349243581
stage,Cirrhosis,PC,7,-0.06861412787854097,0.9173340038172041,0.05069041740149111,4,0.09560802349243581
stage,Cirrhosis,PC,8,0.19818656918959845,0.942003918391578,0.03268209679392499,4,0.09560802349243581
stage,Cirrhosis,PC,9,0.4762642226924544,0.97539315211279,0.02203213764823586,4,0.09560802349243581
stage,Cirrhosis,PC,10,0.7823616059884713,1.018003632513062,0.030146300778413227,4,0.09560802349243581
stage,Cirrhosis,PC,11,1.135681259527008,1.070683677174843,0.02916882656079375,4,0.09560802349243581
stage,Cirrhosis,PC,12,1.5517727774439234,1.117165921079194,0.012538152309566944,4,0.09560802349243581
stage,Cirrhosis,PC,13,2.0862126457809085,1.2706570881760648,0.03015768606081833,4,0.09560802349243581
stage,Cirrhosis,PC,14,4.223182751106757,1.3694683407455412,0.02386625685600016,4,0.09560802349243581
stage,Cirrhosis,PP,0,-4.467476349070802,1.7385816731392822,0.04778250139550481,3,-0.14813475242587834
stage,Cirrhosis,PP,1,-1.9603769606098451,1.4955172209534315,0.05547294248890738,4,-0.14813475242587834
stage,Cirrhosis,PP,2,-1.5156741757224914,1.3769888654422653,0.04325741364619891,4,-0.14813475242587834
stage,Cirrhosis,PP,3,-1.1661194898716438,1.3020910732251618,0.027376851610537514,4,-0.14813475242587834
stage,Cirrhosis,PP,4,-0.8643681640032277,1.2314583236253942,0.04776087974869838,4,-0.14813475242587834
stage,Cirrhosis,PP,5,-0.5880345642986102,1.1812759958336234,0.050669425872173025,4,-0.14813475242587834
stage,Cirrhosis,PP,6,-0.32701056004417123,1.1075173628393138,0.03162030425590873,4,-0.14813475242587834
stage,Cirrhosis,PP,7,-0.06861412787854097,1.0959986693445323,0.06938981179195938,4,-0.14813475242587834
stage,Cirrhosis,PP,8,0.19818656918959845,1.0282095577588297,0.039694900229308605,4,-0.14813475242587834
stage,Cirrhosis,PP,9,0.4762642226924544,0.9660763547726201,0.03754137997547276,4,-0.14813475242587834
stage,Cirrhosis,PP,10,0.7823616059884713,0.9201831964006633,0.03544460735826866,4,-0.14813475242587834
stage,Cirrhosis,PP,11,1.135681259527008,0.8486364820221369,0.03448005308571545,4,-0.14813475242587834
stage,Cirrhosis,PP,12,1.5517727774439234,0.7722575678547747,0.023730872099527227,4,-0.14813475242587834
stage,Cirrhosis,PP,13,2.0862126457809085,0.7637700330673738,0.03406192155860668,4,-0.14813475242587834
stage,Cirrhosis,PP,14,4.223182751106757,0.6158307050289018,0.014473177783135628,4,-0.14813475242587834
stage,End-stage,PC,0,-4.467476349070802,0.452817529804357,0.03929005588180293,5,0.10188204644296792
stage,End-stage,PC,1,-1.9603769606098451,0.5077007633240653,0.05036424219676427,5,0.10188204644296792
stage,End-stage,PC,2,-1.5156741757224914,0.5508465742748828,0.05530349182874157,5,0.10188204644296792
stage,End-stage,PC,3,-1.1661194898716438,0.5858123995183031,0.06379918172837752,5,0.10188204644296792
stage,End-stage,PC,4,-0.8643681640032277,0.6179373885567351,0.0700004415228108,5,0.10188204644296792
stage,End-stage,PC,5,-0.5880345642986102,0.6388040009707335,0.07327180353501159,5,0.10188204644296792
stage,End-stage,PC,6,-0.32701056004417123,0.6540849384226372,0.08074104977737732,5,0.10188204644296792
stage,End-stage,PC,7,-0.06861412787854097,0.681382544642637,0.08418131403541794,5,0.10188204644296792
stage,End-stage,PC,8,0.19818656918959845,0.716701194917154,0.0872602607524741,5,0.10188204644296792
stage,End-stage,PC,9,0.4762642226924544,0.7571990330891327,0.08567159423482268,5,0.10188204644296792
stage,End-stage,PC,10,0.7823616059884713,0.7669177741602488,0.08330244242844971,5,0.10188204644296792
stage,End-stage,PC,11,1.135681259527008,0.7858042134543175,0.10045114229854155,5,0.10188204644296792
stage,End-stage,PC,12,1.5517727774439234,0.942286235679487,0.0671774220058717,5,0.10188204644296792
stage,End-stage,PC,13,2.0862126457809085,1.0623165827841676,0.07712550900190339,4,0.10188204644296792
stage,End-stage,PC,14,4.223182751106757,1.2572350017418092,0.10012679986128081,4,0.10188204644296792
stage,End-stage,PP,0,-4.467476349070802,1.5526268699229726,0.04191598090143691,5,-0.14476232406667652
stage,End-stage,PP,1,-1.9603769606098451,1.3593871098389043,0.04782711995840283,5,-0.14476232406667652
stage,End-stage,PP,2,-1.5156741757224914,1.2636967572515518,0.05254404366402396,5,-0.14476232406667652
stage,End-stage,PP,3,-1.1661194898716438,1.187051772491484,0.061468190298952084,5,-0.14476232406667652
stage,End-stage,PP,4,-0.8643681640032277,1.1189599927410838,0.06629320611692159,5,-0.14476232406667652
stage,End-stage,PP,5,-0.5880345642986102,1.047782845787171,0.06802723908389337,5,-0.14476232406667652
stage,End-stage,PP,6,-0.32701056004417123,0.9802063212050915,0.07457405569666435,5,-0.14476232406667652
stage,End-stage,PP,7,-0.06861412787854097,0.9217827990560385,0.0790294032184006,5,-0.14476232406667652
stage,End-stage,PP,8,0.19818656918959845,0.8588780180160385,0.07781285804952416,5,-0.14476232406667652
stage,End-stage,PP,9,0.4762642226924544,0.8176867741880451,0.0772119583556424,5,-0.14476232406667652
stage,End-stage,PP,10,0.7823616059884713,0.7219079892448956,0.07190722009180514,5,-0.14476232406667652
