"","logFC.F1...F0","logFC.F2...F0","logFC.F3...F0","logFC.F4...F0","logCPM","F","PValue","FDR"
"DSCAML1",0.334478401852293,0.740517813296591,1.62936125445323,3.27278772781503,3.20699886563618,7.51269788673468,0.000137326370194575,0.0368119552125078
"GPRC5B",1.67196214716859,2.733300128798,2.72307233781576,4.22635694019037,0.737997564722924,7.14101123331259,0.00013833814393436,0.0368119552125078
"AC004470.1",4.51618997011635,8.29980479414077,6.43548073328232,5.94835882183575,1.09912272925329,7.09526751737515,0.000142842822355158,0.0375355226443765
"LINC00992",0.168087654333512,0.739499646356187,1.89961715887629,2.19286480626573,0.664092254715327,7.12245499123162,0.000146487653076904,0.0380180671973171
"AC098617.1",1.98688422259999,4.11478693914894,5.72936895167922,6.5371607609113,5.3371247188422,7.50642460579192,0.000148767828111298,0.0381389912506794
"LINC01719",-1.3906368814282,-1.31854210096527,-1.35121374933857,-0.621992027558834,4.13337373217228,7.48062555270501,0.000154905593600529,0.0392340408273533
"CNKSR1",1.34549753106532,1.64892755776088,2.56764205976133,3.20618153418284,2.03854253979984,7.2330610258696,0.000160801731137795,0.0402425475235564
"AC068875.1",0.604202596673262,0.601861827472561,1.37544241086476,2.18688508483792,1.9151820847363,7.20313891274512,0.000166739453815299,0.0412376093894731
"FAM124B",-0.91696049100662,-1.95105335075245,-1.83593671507345,-1.91884392293007,1.40822796835294,7.09917407536519,0.000170854032688405,0.0413929636780531
"AC114947.2",5.1339875381462,6.36635990811829,7.62094742374572,4.23713744931588,0.633942144918044,6.94398669248815,0.000171305672152537,0.0413929636780531
"PIK3IP1",1.75243970994843,3.02437028032885,2.78177849897705,2.23637196494962,1.94860598260299,7.14395616629158,0.000173992423332266,0.0415644173101239
"RAB25",3.76541069983474,4.40186661325448,4.16332774022721,6.61264674143691,-0.795813448467948,6.64133247664075,0.000177261878250194,0.0418696539839952
"GRIN2A",0.46205990742085,0.544708715259977,2.02484498346661,0.270262089702118,2.49441526385387,7.13891656292272,0.000197433987536646,0.0459815390229767
"AL132718.1",-1.09274726001975,-1.92880275318196,1.70533888587332,-0.0358942059910955,-0.479725800629326,6.50829867953432,0.000199044812629192,0.0459815390229767
"ESPNL",-0.865842576271253,-1.83735381201147,-2.25432907325681,-2.53491607831535,1.2435363359602,6.78306466214686,0.000228374082897208,0.0513311825814679
"AC011029.1",-0.864633252125435,2.04347528595497,1.64009497761699,1.12036952784283,2.21434720569182,6.93181982695633,0.000228868776808469,0.0513311825814679
"PIP4P2",2.01109513238562,2.16274617580398,3.52628764754741,3.52082041103801,1.19691259085006,6.78665148033734,0.000231239675164076,0.0513311825814679
"ZNF554",-0.793774601731807,-0.986690738290804,-1.21414273345388,-0.918904305491279,3.39206037953592,7.07266507041983,0.000231969476987891,0.0513311825814679
"LINC01503",1.73324241086924,1.96427530378186,2.92559391111187,2.82426871313246,2.09693511139423,6.90492572891992,0.000236696203622906,0.0518268575967113
"AC098969.2",0.257782010353497,0.555905466140597,2.70366051756696,0.526214054646765,0.725106567323792,6.63696740333243,0.000239140195361098,0.0518268575967113
"LRRC1",2.21868203171585,2.67934689718074,3.37061966046524,4.51562893443543,2.75950958514504,6.92885627279139,0.000245180567727493,0.0525926517712036
"AL390719.2",1.5708795565701,2.11347745434714,2.31884233076884,4.32623055492706,0.943281947617383,6.65349178927839,0.000247677315448062,0.0525926517712036
"AC074237.1",-1.97795363878103,-4.3379724389166,-0.355047763756208,1.10079858212366,2.04595356584003,6.60245861440267,0.000252769217291418,0.053137144859002
