"","logFC","logCPM","F","PValue","FDR"
"RPN1",0.85935129116926,4.88227767493822,13.2245148555241,0.0008069713897628,0.198202585859805
"IGF2BP2",1.43639170480163,3.44915961706031,12.7414780164135,0.000846463979847169,0.20460243627163
"AP1S3",0.99069403293612,4.04548518999492,12.7414105403961,0.000940214323923752,0.223712245698608
"ACOT11",1.47910446193826,3.26088726888332,12.3576718945477,0.00101619446140744,0.23019049751025
"AP004609.3",1.67345089742998,2.67035989404158,12.1708046103026,0.00101774665445596,0.23019049751025
"NPW",1.27956422082292,3.26795651503814,12.3883715453954,0.00101823018612773,0.23019049751025
"ADGRV1",-1.19681334259647,5.94260996251895,12.6408291094179,0.00103211404092386,0.23019049751025
"ATP5F1A",0.924251400269343,5.29931070972196,12.6022979414736,0.00104302234884471,0.23019049751025
"POT1",-0.751874514802406,5.18019339584136,12.4750843349081,0.00110159017742236,0.239643074596968
"LRRTM3",-2.52116166984746,5.85586498870505,12.3440390939623,0.00122837545762331,0.263460584066026
"AC092115.3",1.12234169756964,2.67086834707488,11.7136224444628,0.00126450044444425,0.267441843999959
"SRD5A2",-0.845309888002776,7.41889505186311,12.0809337378121,0.00128944213368378,0.26898116180461
"PHIP",-0.611614040691628,6.882317251717,12.0274722845058,0.00131868599866709,0.270237282510477
"CCDC73",-0.792013261499039,6.1303266227733,11.9905807368428,0.00134120824803686,0.270237282510477
"NIBAN2",1.3336665121348,3.16265627785261,11.6775598740467,0.00134870196157054,0.270237282510477
"A2M",1.53910027696321,8.85885808494159,11.9894641042091,0.00139829763848782,0.270612110732984
"ADGRG1",2.15055843993161,2.44146181781633,11.3562374977737,0.00141179203096173,0.270612110732984
"GGT5",2.20847981077084,2.60212690741116,11.3391021620641,0.00143798325515426,0.270612110732984
"SEL1L3",1.07346460571141,4.22763632123842,11.6832620614771,0.00146069830661167,0.270612110732984
"IL32",1.95308662719803,5.44252659051155,11.8424354247635,0.0014626515455031,0.270612110732984
"RCC1",0.786058578990518,4.43030280517037,11.7009522081656,0.00147086008036222,0.270612110732984
"ACOT7",0.816846128012372,5.1372560789001,11.6975975608675,0.00150220879433887,0.270612110732984
"CDH6",2.34145659117975,1.93921902118925,11.105253264179,0.00150958984847325,0.270612110732984
"TRHDE",-1.86107888149887,5.61706224172116,11.7601556495655,0.00151050889232359,0.270612110732984
"ENPP3",-1.53527060729212,4.16694600111397,11.5043617799936,0.00155867188529925,0.272969511578756
"RAB11FIP4",1.122316677952,4.40288303487729,11.5448755807724,0.00155951848616705,0.272969511578756
