signature_set,gene,program,mean_slope_trend_rho,q_trend,level_rho_central,level_q_central,level_rho_portal,level_q_portal
unsupervised,SVIL,other,-0.4377805792176755,3.187796215647849e-10,-0.188827446926016,0.6672348813412875,-0.1042411359291834,0.8879483803192884
unsupervised,PPARG,other,-0.4368927604321366,2.4127231551355735e-12,-0.0391370166959644,1.0,0.1882878218316679,0.6567681459373372
unsupervised,FGFR2,other,-0.436255535658645,3.6746790680589477e-10,0.3561122174052269,0.2657117691233063,-0.1600301201756035,0.7367457481914371
unsupervised,ARHGEF28,other,-0.4343689207393749,7.914537296967261e-09,-0.1569636811204521,0.7595616431196972,-0.0815768610790752,0.9438325740253196
unsupervised,GLDC,urea_nitrogen,-0.4339285912610631,1.453619850629437e-13,0.0328335325909507,1.0,-0.2164728815811613,0.5824624328979559
unsupervised,CDK6,other,-0.4215435192027952,1.976206053044983e-13,-0.2213146342364715,0.5764332306430003,-0.0158359356324473,1.0
unsupervised,IGF1,other,-0.4167879608370294,1.4560306435223854e-09,-0.0715549349503208,0.9791113781391052,-0.1813868407074362,0.6746246877593381
unsupervised,ADH1B,cyp_xenobiotic,-0.412857214762345,4.5029857757487997e-08,-0.3658791543151932,0.2481089001352276,-0.2027435612392689,0.6145401952766175
unsupervised,RAP1GDS1,other,-0.4081824973739723,9.714221531642194e-12,-0.4132591886869449,0.1567654985281969,-0.1704179128152364,0.7068719791550975
unsupervised,MYRIP,other,-0.4021282111322638,3.187796215647849e-10,-0.1238530723051051,0.8387066273331967,0.1517489428265255,0.7601533256576173
unsupervised,ECHDC2,other,-0.4020784177766233,2.6297273951480428e-11,-0.3533414551612648,0.2712614319998874,-0.4521232264970297,0.1103182131290742
unsupervised,ADGRA3,other,-0.4003561534756438,3.0739659770018705e-10,0.0480727249327421,1.0,-0.2821411651212184,0.4119927062902571
unsupervised,CUX2,other,-0.3982648325387402,2.5481565176852014e-12,-0.1252384534270862,0.8354172714335562,-0.2928921672937056,0.3875318366340666
unsupervised,GLS2,urea_nitrogen,-0.3933670589418417,1.3342895598135724e-14,-0.0371974831251909,1.0,-0.3999663375791525,0.1865317187259875
unsupervised,DPP4,other,-0.3885567554226749,5.217046116446347e-11,-0.1438718295177312,0.7888204106591427,0.0229548424763916,1.0
unsupervised,SLC16A7,other,-0.3880392020753446,1.1262253255088377e-07,0.0604026169183734,1.0,0.1946717994130001,0.6374423238070215
unsupervised,DNAH6,other,-0.3861850620943703,3.4492769928853455e-14,-0.0528192840173835,1.0,-0.3255810252505924,0.3166311296341014
unsupervised,CCDC38,other,-0.3818330251773545,3.134484735044902e-11,0.280513692627403,0.4346598543295417,-0.1584008947844647,0.7417645303997071
unsupervised,ALAS1,other,-0.3818300961564345,1.3547945495596053e-11,0.196793388377407,0.6452509842122449,0.3507877668306806,0.2691181601738249
unsupervised,TRHDE,other,-0.3777898046993407,3.785441537781609e-11,-0.4024532159354927,0.1763256273033597,-0.1276318298450001,0.8244433009454509
unsupervised,LGR5,wnt_pericentral_identity,-0.3727120540323715,6.72032612586972e-13,-0.3222396489727904,0.3425864660453993,0.0464312594816429,1.0
unsupervised,ALDOB,other,-0.3722368203880961,1.0004532018830149e-08,0.3234864919825734,0.3408898619639698,0.2049228184363947,0.6088400655689643
unsupervised,PKD1L3,other,-0.3664380912216606,2.9097610074612804e-09,-0.1776751288940686,0.7008252112807304,-0.1097763850733213,0.8741169196196695
unsupervised,MTHFD2L,other,-0.3652443524733627,7.430391866472003e-11,-0.0225124432321919,1.0,-0.1810962730811528,0.6752280072698789
unsupervised,SLC13A3,other,-0.3513775538210037,6.72032612586972e-13,-0.241956812953989,0.5257093636050312,-0.0605107081735259,0.9989713859151866
