gene,loading
ADGRD1,-0.01742762327194214
FBXO17,-0.017419826239347458
NRBP2,-0.017393432557582855
CCNG1,-0.017378857359290123
LMBRD1,-0.017359687015414238
TMEM45A,-0.017229950055480003
RSRP1,-0.017176669090986252
SMARCA1,-0.017154110595583916
IDH1,-0.0170290470123291
TMPRSS6,-0.016998523846268654
RND1,-0.016936874017119408
SLC43A1,-0.016922596842050552
SLC22A1,-0.01691475138068199
DHRS1,-0.016870955005288124
PDCD4,-0.01686854474246502
CFHR5,-0.016848761588335037
FRK,-0.016843266785144806
ANGEL1,-0.01681486703455448
VMP1,-0.016755808144807816
USP9Y,-0.016711868345737457
PDE7B,-0.016661517322063446
SPP2,-0.016647014766931534
PPP4R3A,-0.016646623611450195
PAQR9,-0.016617372632026672
ZGPAT,-0.016577042639255524
TNK2,-0.016487382352352142
IGSF9,-0.016450800001621246
RBFOX2,-0.016305718570947647
HJV,-0.01628865674138069
PLA2G12B,-0.016260122880339622
FOXP1,-0.0162500087171793
C11orf54,-0.016204653307795525
IRF6,-0.016203805804252625
PON2,-0.016192270442843437
TIGD2,-0.01618347316980362
TSC22D3,-0.016120359301567078
RANBP17,-0.016052180901169777
APBA1,-0.01603984832763672
ADK,-0.01603119634091854
KDM4B,-0.016019182279706
TMEM176A,-0.015990717336535454
SNX1,-0.0159443449229002
SPRYD4,-0.015910014510154724
GSTA1,-0.015885595232248306
CEACAM19,-0.015884824097156525
SAT1,-0.015826940536499023
TMEM220,-0.015742892399430275
SLC41A2,-0.01570180244743824
COL4A5,-0.015685616061091423
PSME4,-0.01568450964987278
AQP3,-0.01568419113755226
SIK3,-0.015668965876102448
NOS1AP,-0.015604131855070591
COL26A1,-0.015601573511958122
MCC,-0.015579775907099247
GPC5,-0.015575207769870758
NAXD,-0.015570473857223988
DLG1,-0.01556203793734312
ETNK2,-0.0155332637950778
VWCE,-0.015530484728515148
CPT1A,-0.015523464418947697
DST,-0.01546371541917324
SLC19A3,-0.015378198586404324
CA2,-0.015340421348810196
KCNMA1,-0.015338444150984287
CEP70,-0.015322302468121052
EPHA1,-0.015292581170797348
FARP2,-0.015224561095237732
WDR27,-0.015220565721392632
ARRDC3,-0.015205440111458302
TMEM131L,-0.015190192498266697
PRG4,-0.015169232152402401
MTTP,-0.015047322027385235
ALPK2,-0.014895288273692131
PAN2,-0.01488229539245367
SULF2,-0.014878670684993267
THNSL2,-0.014856545254588127
MGLL,-0.014844072982668877
RAB3IP,-0.014836719259619713
GANC,-0.01480325497686863
CFAP20,-0.014802688732743263
PCCB,-0.014782396145164967
SLC5A9,-0.014778979122638702
NUDT5,-0.014757756143808365
KLHL5,-0.014735368080437183
ZNF638,-0.014724889770150185
COL5A2,-0.014691581949591637
COL18A1,-0.014641061425209045
PKHD1,-0.014556240290403366
ELL2,-0.014530899934470654
POLR1E,-0.01448759250342846
GREB1L,-0.014481531456112862
SORBS1,-0.014428926631808281
GNAO1,-0.014410884119570255
HGSNAT,-0.014392214827239513
SCLY,-0.014379186555743217
CYP3A7,-0.014339450746774673
FXYD1,-0.01433923002332449
RIDA,-0.014290207996964455
ABCA6,-0.014286653138697147
GALNS,-0.014270594343543053
SHFL,-0.014253419823944569
ITCH,-0.01425151713192463
ZBED3,-0.014242108911275864
INTS6,-0.014238297939300537
EPHB1,-0.014220590703189373
GLCE,-0.014218157157301903
ABHD12,-0.014215663075447083
IFNAR2,-0.014205996878445148
COL5A3,-0.014189917594194412
OSBPL9,-0.01418084092438221
CCNB1IP1,-0.014111753553152084
ANKRD10,-0.014103769324719906
NSUN6,-0.014080307446420193
TSPAN3,-0.01405231561511755
TIA1,-0.01398723479360342
INTS10,-0.013938043266534805
C8B,-0.013922934420406818
GDPD4,-0.013904226012527943
MAN2A1,-0.01390081737190485
ETFDH,-0.013873639516532421
FOLH1,-0.013811016455292702
ZFY,-0.013809315860271454
TGDS,-0.013787318021059036
CD99L2,-0.013785013929009438
TFPI,-0.013765675015747547
EDEM1,-0.013734331354498863
CDC37L1,-0.013692977838218212
CCDC38,-0.013629049062728882
RANBP10,-0.013607319444417953
GEN1,-0.013559728860855103
CAPN3,-0.01353846862912178
MRC1,-0.013500328175723553
CYP2A6,-0.013493853621184826
LSR,-0.013470131903886795
STK19,-0.013455613516271114
APOC2,-0.013384075835347176
DCTD,-0.013368351384997368
GBP1,-0.01336800865828991
DNM1,-0.013365577906370163
MON2,-0.013333629816770554
MSMO1,-0.013319738209247589
NUCB1,-0.013319352641701698
ZBTB48,-0.01329962071031332
SERPINA4,-0.013283507898449898
DPYD,-0.013238233514130116
KPNA1,-0.01319220568984747
NET1,-0.013190427795052528
ARHGEF10L,-0.013155052438378334
TMEM45B,-0.01314662117511034
TMEM39A,-0.01311666052788496
CCDC68,-0.013078408315777779
PBLD,-0.013048410415649414
ACADSB,-0.012910150922834873
CGNL1,-0.012884014286100864
LRP6,-0.012819334864616394
FAM83G,-0.012809781357645988
VEGFA,-0.01275621447712183
PPIL3,-0.012742487713694572
SEPSECS,-0.012739859521389008
RTKN,-0.012731127440929413
N4BP2L1,-0.012723736464977264
USP15,-0.012681613676249981
PNKD,-0.012674511410295963
CIAO2A,-0.01266364473849535
GALNTL6,-0.012652969919145107
CEP120,-0.012640549801290035
SEMA5A,-0.012633160687983036
KLF3,-0.012632548809051514
LAG3,-0.012632510624825954
PHPT1,-0.012607177719473839
WASHC4,-0.0125521719455719
FAAH2,-0.012529116123914719
RABGAP1L,-0.012514865957200527
MAN1A1,-0.012510362081229687
RAB33B,-0.01246683020144701
ATL2,-0.012409753166139126
TTC39C,-0.01239976566284895
PDE8A,-0.012398246675729752
RAB27A,-0.012394983321428299
F2,-0.012359214946627617
RDH16,-0.012356125749647617
SNX14,-0.01233756635338068
HABP2,-0.012324326671659946
LCN12,-0.012278636917471886
RUNX1,-0.012272628955543041
IL17RC,-0.012260222807526588
SH3BP2,-0.012216068804264069
LDLR,-0.012204821221530437
MTHFS,-0.012203250080347061
AUTS2,-0.012199774384498596
PLCB1,-0.012193468399345875
AFF3,-0.012179696932435036
ZBTB10,-0.012173069640994072
SPATA22,-0.012149561196565628
LIME1,-0.012148205190896988
AGPAT5,-0.012132330797612667
LIPG,-0.012126542627811432
RBM33,-0.012068173848092556
ZNF655,-0.012006320990622044
ACOX1,-0.011994040571153164
PPP1R16A,-0.011981580406427383
CLDN14,-0.011953772976994514
OGT,-0.011952783912420273
TMEM259,-0.011932778172194958
CSRNP3,-0.0119267413392663
GFOD2,-0.011884685605764389
NRDC,-0.011883534491062164
C1GALT1,-0.011853625997900963
RAB26,-0.01183808408677578
POU6F2,-0.011833542957901955
HUS1,-0.01179077010601759
ERBB3,-0.011773253791034222
NAAA,-0.011752290651202202
GRID1,-0.01172806229442358
CAPN5,-0.01171468198299408
FASTKD1,-0.011707259342074394
PHYHD1,-0.011647321283817291
GCLM,-0.011631718836724758
KIAA0319L,-0.011624729260802269
NCALD,-0.011620650999248028
NHSL1,-0.011589963920414448
LSS,-0.01158013567328453
SERPINA6,-0.01157326903194189
ODR4,-0.011556196957826614
FAM76B,-0.011537107639014721
SEC24D,-0.011508598923683167
BIRC6,-0.011490756645798683
PBX3,-0.011438162997364998
CA5A,-0.011387490667402744
TMX3,-0.011385247111320496
HSBP1L1,-0.011323470622301102
RHOB,-0.011319881305098534
HMCN1,-0.011291724629700184
AQP7,-0.011228435672819614
ARPP21,-0.011201229877769947
CABIN1,-0.011180023662745953
CBR4,-0.011177360080182552
GPR180,-0.011132298037409782
IYD,-0.011111030355095863
SLC7A5,-0.011110072024166584
SLC35D1,-0.01109326258301735
SLC2A2,-0.011091429740190506
TMEM50B,-0.011062332428991795
ATG2B,-0.011050844565033913
HYAL1,-0.011033340357244015
CCDC82,-0.011016958393156528
CDA,-0.011007563211023808
PERP,-0.01098412275314331
GPX3,-0.010979385115206242
ESRP2,-0.010951255448162556
CMTM8,-0.010950759053230286
SEC61A1,-0.010946572758257389
KLC4,-0.01092666108161211
IL4R,-0.010925502516329288
ZNF326,-0.010878379456698895
LARP4,-0.010871062986552715
KIAA1671,-0.010866978205740452
IP6K2,-0.010807424783706665
NUDT9,-0.010796811431646347
SCCPDH,-0.010791461914777756
INHBE,-0.01077602431178093
MOCOS,-0.010756310075521469
ZNF283,-0.010745605453848839
TAFA5,-0.010744028724730015
PELI1,-0.010735158808529377
HECTD1,-0.010705576278269291
NFKBIZ,-0.01070259790867567
SLC18B1,-0.010690387338399887
FMO5,-0.010685978457331657
SLC17A2,-0.010676455684006214
PER3,-0.01066383346915245
ENPP3,-0.010659076273441315
FBXO28,-0.010657931677997112
AKAP17A,-0.010653153993189335
COQ9,-0.010635371319949627
FAM184A,-0.01063244417309761
MANEA,-0.010629862546920776
KYAT3,-0.010576813481748104
GRAMD4,-0.010573279112577438
NKTR,-0.010564509779214859
FRMD4A,-0.010538704693317413
SLC35B4,-0.010511594824492931
FAHD2A,-0.010507512837648392
FNDC3A,-0.010488012805581093
ADAT2,-0.010460613295435905
SLC17A4,-0.010439452715218067
SERPINA1,-0.010416066274046898
IL15,-0.01040992047637701
ABHD2,-0.010401752777397633
P2RX7,-0.010401688516139984
TRIP6,-0.010398310609161854
EPHX2,-0.01039260346442461
SLC25A20,-0.010358182713389397
LNX2,-0.01034698635339737
IL13RA1,-0.01034690160304308
PCSK9,-0.010334379971027374
LGR4,-0.010307698510587215
SORCS2,-0.010304374620318413
MTMR10,-0.010298160836100578
IL6ST,-0.010267374105751514
PHLDB2,-0.010261820629239082
BNIP2,-0.010231278836727142
TRIQK,-0.010217067785561085
RBM47,-0.01020141877233982
SEPTIN2,-0.010189257562160492
MAGI1,-0.010157028213143349
TCIRG1,-0.010156538337469101
KNOP1,-0.010128451511263847
GC,-0.010097319260239601
FGG,-0.010077549144625664
GBA2,-0.010070811957120895
NTN1,-0.010047933086752892
HSP90B1,-0.010031677782535553
PNPLA2,-0.009967890568077564
NFIC,-0.009961152449250221
UGT2B17,-0.009956136345863342
SLC45A3,-0.009937186725437641
MYSM1,-0.009933839552104473
NID1,-0.009933050721883774
LGI4,-0.009922593832015991
PLXNB1,-0.009905443526804447
GRAMD1C,-0.009884114377200603
SCARB1,-0.009865883737802505
SPART,-0.009847905486822128
SEPTIN6,-0.00983546581119299
TBX15,-0.009822824969887733
PDLIM5,-0.009794223122298717
ABCG8,-0.009757707826793194
DIPK2A,-0.00975718628615141
CRY2,-0.009726579301059246
AKAP13,-0.009698399342596531
ANGPTL3,-0.009695479646325111
SNORC,-0.009692194871604443
AFF1,-0.009687483310699463
WEE1,-0.009671592153608799
AMZ1,-0.009663177654147148
CAMK2B,-0.009654633700847626
CHID1,-0.00964298564940691
DIP2B,-0.009593483991920948
RIOK3,-0.00957639329135418
GNE,-0.009569356217980385
ZNF682,-0.009559955447912216
AATK,-0.009554465301334858
AGBL4,-0.009510847739875317
SIGIRR,-0.009500817395746708
DERA,-0.009499993175268173
STRADB,-0.009490331634879112
OGDHL,-0.00949020218104124
TGFBR3,-0.00947419460862875
ZFYVE16,-0.009450501762330532
TMEM64,-0.009438573382794857
XRN1,-0.00943205039948225
SEC63,-0.009419582784175873
ATP5F1C,-0.009416747838258743
ARMH1,-0.009403780102729797
SEC16A,-0.009397359564900398
SLC27A3,-0.009387174621224403
PICALM,-0.009385094046592712
ERICH5,-0.00937674567103386
PEX10,-0.009373350068926811
PLSCR1,-0.0093614486977458
CEP57,-0.009342862293124199
PRRG4,-0.009335456416010857
RER1,-0.00931981485337019
AGT,-0.00931637641042471
MTERF4,-0.009314009919762611
RB1CC1,-0.009296397678554058
DCUN1D3,-0.00926388893276453
ARL5B,-0.009263550862669945
SESN1,-0.0092625068500638
SLC2A4RG,-0.009258553385734558
FBXO25,-0.009252703748643398
KIFC3,-0.009245499968528748
EBP,-0.009240212850272655
FEM1C,-0.009227425791323185
CTPS1,-0.009225089102983475
SCART1,-0.009224437177181244
ECI2,-0.009218468330800533
