set,arm,gene,in_p1,in_p2,in_sig,kept
full,pericentral,ACSS2,True,True,True,True
full,pericentral,NR5A2,True,True,True,True
full,pericentral,CNTLN,True,True,True,True
full,pericentral,VEGFA,True,True,True,True
full,pericentral,RGS12,True,True,True,True
full,pericentral,ZBTB7B,True,True,True,True
full,pericentral,SAP30BP,True,True,True,True
full,pericentral,SCRN2,True,True,True,True
full,pericentral,C11orf24,True,True,True,True
full,pericentral,NXF1,True,True,True,True
full,pericentral,HOMER2,True,True,True,True
full,pericentral,SMAD3,True,True,True,True
full,pericentral,TNRC6A,True,True,True,True
full,pericentral,FGD4,True,True,True,True
full,pericentral,LMBR1L,True,True,True,True
full,pericentral,RBL2,True,True,True,True
full,pericentral,TNKS,True,True,True,True
full,pericentral,FRRS1,True,True,True,True
full,pericentral,ABCG8,True,True,True,True
full,pericentral,WDR6,True,True,True,True
full,pericentral,STX4,True,True,True,True
full,pericentral,TXNRD2,True,True,True,True
full,pericentral,STAU2,True,True,True,True
full,pericentral,CSAD,True,True,True,True
full,pericentral,U2AF1L4,True,True,True,True
full,pericentral,CDK5RAP3,True,True,True,True
full,pericentral,TEN1,True,True,True,True
full,pericentral,TAF1D,True,True,True,True
full,pericentral,GALT,True,True,True,True
full,pericentral,SLC45A3,True,True,True,True
full,pericentral,GALE,True,True,True,True
full,pericentral,APBB3,True,True,True,True
full,pericentral,ATXN2,True,True,True,True
full,pericentral,KMT2D,True,True,True,True
full,pericentral,ANKRD11,True,True,True,True
full,pericentral,ADHFE1,True,True,True,True
full,pericentral,ARHGEF1,True,True,True,True
full,pericentral,SH2B1,True,True,True,True
full,pericentral,SRSF5,True,True,True,True
full,pericentral,ORMDL3,True,True,True,True
full,pericentral,ATP7B,True,True,True,True
full,pericentral,FAM76B,True,True,True,True
full,pericentral,CCNL1,True,True,True,True
full,pericentral,LIPG,True,True,True,True
full,pericentral,ITPRID2,True,True,True,True
full,pericentral,SIN3B,True,True,True,True
full,pericentral,ABCA9,True,True,True,True
full,pericentral,NUP88,True,True,True,True
full,pericentral,SNAPC4,True,True,True,True
full,pericentral,SPPL2B,True,True,True,True
full,pericentral,MICU1,True,True,True,True
full,pericentral,CCDC159,True,True,True,True
full,pericentral,PKD1,True,True,True,True
full,pericentral,MAVS,True,True,True,True
full,pericentral,PPARA,True,True,True,True
full,pericentral,POLM,True,True,True,True
full,pericentral,OTULIN,True,True,True,True
full,pericentral,CREBZF,True,True,True,True
full,pericentral,RAB11FIP3,True,True,True,True
full,pericentral,SYVN1,True,True,True,True
full,pericentral,MOGAT1,True,True,True,True
full,pericentral,NFE2L2,True,True,True,True
full,pericentral,TELO2,True,True,True,True
full,pericentral,GBA2,True,True,True,True
full,pericentral,TUBGCP2,True,True,True,True
full,pericentral,TMEM259,True,True,True,True
full,pericentral,MOV10,True,True,True,True
full,pericentral,FNBP4,True,True,True,True
full,pericentral,MAP3K13,True,True,True,True
full,pericentral,PARP9,True,True,True,True
full,pericentral,RBM14,True,True,True,True
full,pericentral,AQP7,True,True,True,True
full,pericentral,FASTK,True,True,True,True
full,pericentral,ARFRP1,True,True,True,True
full,pericentral,SGK2,True,True,True,True
full,pericentral,ACOX2,True,True,True,True
full,pericentral,GRB14,True,True,True,True
full,pericentral,PRPF38B,True,True,True,True
full,pericentral,ABCA5,True,True,True,True
full,pericentral,ZBTB20,True,True,True,True
full,pericentral,GRTP1,True,True,True,True
full,pericentral,ACADVL,True,True,True,True
full,pericentral,CDK14,True,True,True,True
full,pericentral,SH3BP2,True,True,True,True
full,pericentral,ILF3,True,True,True,True
full,pericentral,MKLN1,True,True,True,True
full,pericentral,ZBTB48,True,True,True,True
full,pericentral,GGA1,True,True,True,True
full,pericentral,KMT2E,True,True,True,True
full,pericentral,KLHL20,True,True,True,True
full,pericentral,SLC25A44,True,True,True,True
full,pericentral,MTMR4,True,True,True,True
full,pericentral,TBC1D17,True,True,True,True
full,pericentral,ERICH1,True,True,True,True
full,pericentral,SLC26A1,True,True,True,True
full,pericentral,HSDL2,True,True,True,True
full,pericentral,DDX39B,True,True,True,True
full,pericentral,DDTL,True,True,True,True
full,pericentral,TMEM63B,True,True,True,True
full,pericentral,TNS1,True,True,True,True
full,pericentral,ZNF638,True,True,True,True
full,pericentral,KLHDC4,True,True,True,True
