cell_type,source,donor,program,nCells,dm_mean,det2
Endothelial,biopsy,64,HSP,99,0.0,0.0
Endothelial,biopsy,64,HIF,99,0.2979,0.1313
Endothelial,biopsy,67,IEG,40,0.0938,0.0
Endothelial,biopsy,67,HSP,40,0.0,0.0
Endothelial,biopsy,67,HIF,40,0.5312,0.225
Endothelial,biopsy,68,IEG,289,0.1089,0.0138
Endothelial,biopsy,68,HSP,289,0.0,0.0
Endothelial,biopsy,68,HIF,289,0.3727,0.128
Endothelial,biopsy,7,IEG,95,0.0378,0.0211
Endothelial,biopsy,7,HSP,95,0.0116,0.0105
Endothelial,biopsy,7,HIF,95,0.4506,0.3158
Endothelial,biopsy,70,IEG,120,0.0285,0.025
Endothelial,biopsy,70,HSP,120,0.0,0.0
Endothelial,biopsy,70,HIF,120,0.2215,0.1917
Endothelial,biopsy,71,IEG,14,0.0,0.0714
Endothelial,biopsy,71,HSP,14,0.0,0.0
Endothelial,biopsy,71,HIF,14,0.0,0.0714
Endothelial,biopsy,72,IEG,553,0.0387,0.0199
Endothelial,biopsy,72,HSP,553,0.0069,0.0018
Endothelial,biopsy,72,HIF,553,0.2941,0.2297
Endothelial,biopsy,73,IEG,603,0.0428,0.0
Endothelial,biopsy,73,HSP,603,0.0023,0.0017
Endothelial,biopsy,73,HIF,603,0.3011,0.1244
Endothelial,biopsy,75,IEG,301,0.0721,0.0166
Endothelial,biopsy,75,HSP,301,0.0023,0.0
Endothelial,biopsy,75,HIF,301,0.3773,0.2159
Endothelial,biopsy,76,IEG,359,0.0477,0.0167
Endothelial,biopsy,76,HSP,359,0.007,0.0
Endothelial,biopsy,76,HIF,359,0.3109,0.2813
Endothelial,biopsy,77,IEG,110,0.03,0.0
Endothelial,biopsy,77,HSP,110,0.0,0.0
Endothelial,biopsy,77,HIF,110,0.3567,0.1455
Endothelial,biopsy,78,IEG,45,0.1,0.0
Endothelial,biopsy,78,HSP,45,0.01,0.0
Endothelial,biopsy,78,HIF,45,0.41,0.0667
Endothelial,biopsy,8,IEG,357,0.0341,0.0196
Endothelial,biopsy,8,HSP,357,0.0043,0.0
Endothelial,biopsy,8,HIF,357,0.2739,0.2521
Endothelial,biopsy,83,IEG,118,0.0672,0.0
Endothelial,biopsy,83,HSP,118,0.0,0.0
Endothelial,biopsy,83,HIF,118,0.2313,0.0763
Endothelial,biopsy,84,IEG,131,0.0532,0.0076
Endothelial,biopsy,84,HSP,131,0.0027,0.0
Endothelial,biopsy,84,HIF,131,0.2314,0.0916
Endothelial,biopsy,9,IEG,345,0.0333,0.0058
Endothelial,biopsy,9,HSP,345,0.0034,0.0
Endothelial,biopsy,9,HIF,345,0.279,0.113
Endothelial,explant,CL103,IEG,907,1.3957,0.5799
Endothelial,explant,CL103,HSP,907,0.074,0.0243
Endothelial,explant,CL103,HIF,907,0.7035,0.3705
Endothelial,explant,CL104,IEG,343,0.3931,0.1983
Endothelial,explant,CL104,HSP,343,0.0825,0.0321
Endothelial,explant,CL104,HIF,343,0.6481,0.2799
Endothelial,explant,CL16,IEG,157,1.1395,0.535
Endothelial,explant,CL16,HSP,157,0.2337,0.121
Endothelial,explant,CL16,HIF,157,1.4801,0.5924
Endothelial,explant,CL17,IEG,245,0.8962,0.3959
Endothelial,explant,CL17,HSP,245,0.041,0.0041
Endothelial,explant,CL17,HIF,245,0.5756,0.3224
Endothelial,explant,CL18,IEG,720,0.8795,0.4903
Endothelial,explant,CL18,HSP,720,0.095,0.0361
Endothelial,explant,CL18,HIF,720,0.8726,0.4681
Endothelial,healthy,30,IEG,74,0.0304,0.0135
Endothelial,healthy,30,HSP,74,0.0,0.0
Endothelial,healthy,30,HIF,74,0.2736,0.4054
Endothelial,healthy,98,IEG,293,0.0345,0.0171
Endothelial,healthy,98,HSP,293,0.001,0.0
Endothelial,healthy,98,HIF,293,0.2912,0.2321
Endothelial,healthy,HL1,IEG,927,0.4442,0.2233
Endothelial,healthy,HL1,HSP,927,1.208,0.452
Endothelial,healthy,HL1,HIF,927,1.089,0.5372
Endothelial,healthy,HL2,IEG,285,0.3108,0.0982
Endothelial,healthy,HL2,HSP,285,0.2133,0.0842
Endothelial,healthy,HL2,HIF,285,0.4266,0.1649
Hepatocytes,biopsy,11,IEG,989,0.0723,0.0202
Hepatocytes,biopsy,11,HSP,989,0.0138,0.002
Hepatocytes,biopsy,11,HIF,989,0.5286,0.2912
Hepatocytes,biopsy,12,IEG,568,0.0651,0.0229
Hepatocytes,biopsy,12,HSP,568,0.0291,0.0053
Hepatocytes,biopsy,12,HIF,568,0.5863,0.3979
Hepatocytes,biopsy,15,IEG,976,0.0453,0.0215
Hepatocytes,biopsy,15,HSP,976,0.0033,0.0
Hepatocytes,biopsy,15,HIF,976,0.4721,0.4037
Hepatocytes,biopsy,16,IEG,2149,0.0413,0.0382
Hepatocytes,biopsy,16,HSP,2149,0.0029,0.0
Hepatocytes,biopsy,16,HIF,2149,0.4699,0.6594
Hepatocytes,biopsy,19,IEG,1387,0.0222,0.0108
Hepatocytes,biopsy,19,HSP,1387,0.0011,0.0007
Hepatocytes,biopsy,19,HIF,1387,0.467,0.6395
Hepatocytes,biopsy,20,IEG,2811,0.0322,0.0082
Hepatocytes,biopsy,20,HSP,2811,0.0048,0.0007
Hepatocytes,biopsy,20,HIF,2811,0.6579,0.5496
Hepatocytes,biopsy,21,IEG,2847,0.047,0.0274
Hepatocytes,biopsy,21,HSP,2847,0.0065,0.0007
Hepatocytes,biopsy,21,HIF,2847,0.4711,0.5532
Hepatocytes,biopsy,22,IEG,2073,0.0406,0.0101
Hepatocytes,biopsy,22,HSP,2073,0.0114,0.0005
Hepatocytes,biopsy,22,HIF,2073,0.6046,0.3666
Hepatocytes,biopsy,3,IEG,1441,0.0377,0.043
Hepatocytes,biopsy,3,HSP,1441,0.0056,0.0028
Hepatocytes,biopsy,3,HIF,1441,0.6104,0.7876
Hepatocytes,biopsy,48,IEG,803,0.0739,0.0262
Hepatocytes,biopsy,48,HSP,803,0.0062,0.0
Hepatocytes,biopsy,48,HIF,803,0.8793,0.599
Hepatocytes,biopsy,49,IEG,1775,0.0346,0.0383
Hepatocytes,biopsy,49,HSP,1775,0.0056,0.0
Hepatocytes,biopsy,49,HIF,1775,0.5536,0.7149
Hepatocytes,biopsy,50,IEG,789,0.0769,0.0798
Hepatocytes,biopsy,50,HSP,789,0.0119,0.0063
Hepatocytes,biopsy,50,HIF,789,0.635,0.7478
Hepatocytes,biopsy,51,IEG,786,0.0575,0.0382
Hepatocytes,biopsy,51,HSP,786,0.0109,0.0025
Hepatocytes,biopsy,51,HIF,786,0.7388,0.6501
Hepatocytes,biopsy,52,IEG,148,0.0648,0.0338
