signature_set,gene,program,mean_slope_trend_rho,q_trend,level_rho_central,level_q_central,level_rho_portal,level_q_portal
paper2_full,PHGDH,other,-0.3340638483018363,6.293087668408254e-10,-0.2788079507986847,0.4382758900917382,-0.2097171842700714,0.5982733256001109
paper2_full,GRHPR,other,-0.3331617098584661,1.1398842730579416e-11,-0.013299658771018,1.0,0.1424507787854555,0.7886410011332879
paper2_full,MGMT,other,-0.3313425625578239,1.4679998920165362e-08,-0.3544497600588496,0.2686219799452677,-0.4101362044990728,0.1699266492283022
paper2_full,CDHR2,other,-0.3310906667587011,1.3066517450583678e-07,-0.1521148471935184,0.7727681694619365,-0.2387013049918444,0.5257526510456427
paper2_full,IQGAP2,other,-0.327954173523499,1.5489491972708772e-08,-0.3034677347699472,0.3825221562138392,-0.1974407020595961,0.628733976921656
paper2_full,CES4A,other,-0.3272243591442575,1.1946835611137153e-07,-0.2248473560975231,0.5660456100938255,-0.0937080594764088,0.9155982667056642
paper2_full,RHOB,other,-0.3255489591779986,8.149507000446426e-09,0.241956812953989,0.5257093636050312,0.4275843461139003,0.1453411614978899
paper2_full,LIPC,other,-0.3234005223331543,2.179557565737619e-06,-0.3686499165591553,0.2409513013166472,-0.3892153354066653,0.203953860634601
paper2_full,ASPG,other,-0.3211806173778612,2.5522739742486803e-08,-0.4265588474579629,0.1367771223505882,-0.5339906552023883,0.0382691150779353
paper2_full,NID1,other,-0.3194794420275059,2.049296577205548e-06,0.1298794801857227,0.82401096292651,0.0181604766427148,1.0
paper2_full,GPHN,other,-0.3182556970871161,1.6990548230631886e-07,-0.0184255689223478,1.0,0.1611923906807372,0.733613742347452
paper2_full,HLF,other,-0.3161350859410121,1.9684251504065475e-06,0.2345450239513904,0.5402154403148177,0.4059956158245339,0.1761212536475869
paper2_full,ALDH3A2,other,-0.3159739897904104,4.480697411538024e-05,-0.3800100417593998,0.2163695190349366,-0.34904436107298,0.2731284406647797
paper2_full,MPLKIP,other,-0.3155980987723394,0.000271920269481,-0.3969116914475686,0.1866837409644109,-0.3207866594169156,0.3265873039546953
paper2_full,SPRYD4,other,-0.3144310466590906,4.325327901317164e-07,-0.0267378556542341,1.0,-0.2872260985811785,0.3996805390045371
paper2_full,EVA1A,other,-0.314266370594031,7.717032920361259e-06,0.106397270168144,0.885995509119764,0.2619467150945194,0.4673600004689841
paper2_full,TPRG1,other,-0.3132595196527696,1.948510994148838e-05,-0.2882978114842549,0.4144199138657227,-0.1709264061612324,0.7060814574221763
paper2_full,ALDOB,other,-0.3112055437325964,2.6416274585578812e-08,0.3234864919825734,0.3408898619639698,0.2049228184363947,0.6088400655689643
paper2_full,ASS1,urea_nitrogen,-0.3107303100883211,8.824234394373152e-07,0.1353517356175478,0.8084836024550471,-0.0367568047248549,1.0
paper2_full,ACSS3,other,-0.3103951061749534,8.953323862133938e-08,0.2847650896232032,0.4229772377088395,0.4572808018635606,0.1054440002351226
paper2_full,APOC4,other,-0.3089759730082673,2.1593852899780005e-08,-0.1347975831687554,0.8100640414216509,-0.0084264611622197,1.0
paper2_full,PPP1R10,other,-0.3071638203097196,2.527889091036068e-05,-0.2274795802292871,0.5585488253001244,-0.1565433086602022,0.7471143770851898
paper2_full,SLC47A1,other,-0.3066554724567094,8.120314746971973e-08,-0.346968702000152,0.2862241120563404,-0.3053865752238934,0.3599823635129837
paper2_full,HAGH,other,-0.3057089430740624,6.955003298301241e-06,-0.3130961335677155,0.3618091881125859,-0.2801071917372343,0.418014316556271
paper2_full,ALDH1A1,other,-0.3022808169892556,3.504496092510581e-06,0.0437087743985018,1.0,0.3060403523830312,0.3585065641793526
paper2_full,DCXR,cyp_xenobiotic,-0.3013464593157651,0.0001850384710985,-0.3345002719023226,0.3160674201239051,-0.1663499660472683,0.7195295677815614
paper2_full,HSD17B11,other,-0.3010278469290192,4.565995275183512e-05,0.0494581060547232,1.0,-0.1051854807146045,0.8858534355895202
paper2_full,CYP3A4,cyp_xenobiotic,-0.3004700962564911,1.3066517450583678e-07,0.1026567411387952,0.8968899050656646,0.2446579413306548,0.5099740270551509
paper2_full,KIAA1671,other,-0.2996889589217952,1.1285292264986428e-05,-0.0182177617540507,1.0,-0.0531738756098691,1.0
paper2_full,FBXO31,other,-0.2990302546615566,5.147384810732677e-07,-0.1084060727950165,0.8810177980874419,0.0123491241170461,1.0
