gene,rho_vs_stage,p,q,is_signature
LRCH4,-0.22082975084377812,0.14026692825963535,0.5775798575875633,True
MCF2L-AS1,0.22079990658650508,0.1403219025680222,0.5776617701471338,False
MS4A5,0.22079251644173925,0.14033551797946126,0.5776617701471338,False
AL590999.1,-0.22078771599476366,0.14034436272426132,0.5776617701471338,False
AC024075.1,-0.2207604817876791,0.14039454913945093,0.5777104298992818,False
EIF4EBP3,-0.2207604817876791,0.14039454913945093,0.5777104298992818,False
BABAM1,-0.22069121273158002,0.14052225621322134,0.5780779661758759,False
AP3M2,0.22069121273158002,0.14052225621322134,0.5780779661758759,False
AC023830.3,0.22068034168654438,0.14054230631341852,0.5780814858291758,False
TNNC2,0.22062204317767115,0.14064986587757583,0.5783666768257855,False
LINC-PINT,0.220621943675481,0.14065004950931542,0.5783666768257855,False
BTBD11,0.22052484022208607,0.14082933921620014,0.5784236776079328,False
PSG8-AS1,-0.22046509436017134,0.14093973693719583,0.5784236776079328,False
EHF,0.22053202971231478,0.14081605888586665,0.5784236776079328,False
PARL,-0.2205526746193819,0.1407779290560843,0.5784236776079328,False
FAM186A,-0.2204141365071838,0.1410339470149567,0.5784236776079328,False
NRBP1,-0.22048340556328289,0.14090589488185992,0.5784236776079328,False
PLPP6,0.22044132798724128,0.1409836700206489,0.5784236776079328,False
AC115282.1,0.22041536613162432,0.14103167315454154,0.5784236776079328,False
H2AFX,-0.22051490758835302,0.14084768817382726,0.5784236776079328,False
LRRC47,-0.22048340556328289,0.14090589488185992,0.5784236776079328,True
PHLPP2,0.22048340556328289,0.14090589488185992,0.5784236776079328,False
LINC01632,-0.22045718086040567,0.14095436422710328,0.5784236776079328,False
FAM168B,0.2204141365071838,0.1410339470149567,0.5784236776079328,False
AC092123.1,-0.22044132798724128,0.1409836700206489,0.5784236776079328,False
DMD,-0.22048340556328289,0.14090589488185992,0.5784236776079328,True
SHANK2-AS3,-0.22047845460977664,0.14091504444717282,0.5784236776079328,False
AL645937.4,-0.22041712797932553,0.14102841513745212,0.5784236776079328,False
AL162584.1,0.22040652180693426,0.14104802896545665,0.5784236776079328,False
AC124944.3,0.22043168631937862,0.1410014959237625,0.5784236776079328,False
AFG1L,0.2204141365071838,0.1410339470149567,0.5784236776079328,False
AC068790.4,-0.22036178251693433,0.14113078691049047,0.5785606598852291,False
AC010245.2,-0.22035730935919137,0.1411390632591818,0.5785606598852291,False
HTD2,-0.22035732034024014,0.14113904294132887,0.5785606598852291,False
