donor,stage,gene,nCells,raw_mean,det1,det2,dm_mean,dm_det1
16,NASH w/o cirrhosis,ARG1,2149,1.5054,0.6356,0.3676,0.2339,0.0585
16,NASH w/o cirrhosis,ALB,2149,40.2238,1.0,0.9986,6.7057,0.991
16,NASH w/o cirrhosis,ACTB,2149,0.1191,0.1014,0.0135,0.0194,0.0019
16,NASH w/o cirrhosis,GAPDH,2149,0.1233,0.1052,0.0149,0.0237,0.0048
16,NASH w/o cirrhosis,stress_mod,2149,0.2611,0.2043,0.04,0.0439,0.0043
19,NASH w/o cirrhosis,FOS,1387,0.0029,0.0022,0.0007,0.0006,0.0
19,NASH w/o cirrhosis,JUN,1387,0.013,0.0123,0.0007,0.0015,0.0
19,NASH w/o cirrhosis,JUNB,1387,0.0123,0.0115,0.0007,0.0009,0.0
19,NASH w/o cirrhosis,JUND,1387,0.0353,0.0346,0.0007,0.008,0.0015
19,NASH w/o cirrhosis,ATF3,1387,0.0267,0.0267,0.0,0.0056,0.0
19,NASH w/o cirrhosis,DUSP1,1387,0.0252,0.0238,0.0007,0.0058,0.0007
19,NASH w/o cirrhosis,HSPA1A,1387,0.0094,0.0087,0.0007,0.0009,0.0
19,NASH w/o cirrhosis,HSPA1B,1387,0.0014,0.0014,0.0,0.0002,0.0
19,NASH w/o cirrhosis,GLUL,1387,0.5472,0.2033,0.0829,0.0976,0.0328
19,NASH w/o cirrhosis,CYP3A4,1387,3.1658,0.5335,0.3605,0.5065,0.1955
19,NASH w/o cirrhosis,CYP2E1,1387,10.0281,0.8544,0.7296,1.6935,0.5843
19,NASH w/o cirrhosis,CYP1A2,1387,0.7585,0.318,0.1687,0.1287,0.0373
19,NASH w/o cirrhosis,ADH4,1387,18.8104,0.9849,0.9517,2.9657,0.8746
19,NASH w/o cirrhosis,AKR1D1,1387,3.3908,0.7902,0.6027,0.5657,0.241
19,NASH w/o cirrhosis,SLCO1B3,1387,14.6244,0.7772,0.6035,2.1882,0.4463
19,NASH w/o cirrhosis,ASS1,1387,1.7888,0.6597,0.3973,0.3263,0.1134
19,NASH w/o cirrhosis,CPS1,1387,14.726,0.9856,0.9466,2.3692,0.8716
19,NASH w/o cirrhosis,PCK1,1387,1.2372,0.4701,0.2473,0.2101,0.0657
19,NASH w/o cirrhosis,ALDOB,1387,3.8709,0.876,0.6893,0.6552,0.2851
19,NASH w/o cirrhosis,HAL,1387,1.6921,0.4362,0.2718,0.289,0.1134
19,NASH w/o cirrhosis,ARG1,1387,2.2069,0.7664,0.5191,0.37,0.1299
19,NASH w/o cirrhosis,ALB,1387,49.4247,1.0,1.0,9.4819,0.9978
19,NASH w/o cirrhosis,ACTB,1387,0.1327,0.1067,0.0159,0.0287,0.0075
19,NASH w/o cirrhosis,GAPDH,1387,0.111,0.0966,0.013,0.0239,0.0067
19,NASH w/o cirrhosis,stress_mod,1387,0.1262,0.1118,0.0123,0.0233,0.003
20,NASH w/o cirrhosis,FOS,2811,0.0011,0.0011,0.0,0.0003,0.0
20,NASH w/o cirrhosis,JUN,2811,0.0203,0.0192,0.0011,0.0061,0.0004
20,NASH w/o cirrhosis,JUNB,2811,0.027,0.0267,0.0004,0.0066,0.0
20,NASH w/o cirrhosis,JUND,2811,0.0302,0.0288,0.0014,0.0107,0.003
20,NASH w/o cirrhosis,ATF3,2811,0.0242,0.0224,0.0018,0.0061,0.0011
20,NASH w/o cirrhosis,DUSP1,2811,0.0057,0.0057,0.0,0.0019,0.0004
