donor,stage,source,gene,nCells,raw_mean,dm_mean,det1,det2
56,NAFLD,needle_biopsy,JUN,505,0.0871,0.0155,0.0653,0.0079
56,NAFLD,needle_biopsy,JUNB,505,0.0277,0.0075,0.0277,0.0
56,NAFLD,needle_biopsy,JUND,505,0.1762,0.0375,0.1545,0.0158
56,NAFLD,needle_biopsy,ATF3,505,0.0772,0.019,0.0693,0.0079
56,NAFLD,needle_biopsy,DUSP1,505,0.0891,0.017,0.0752,0.0099
56,NAFLD,needle_biopsy,HSPA1A,505,0.0079,0.001,0.0079,0.0
56,NAFLD,needle_biopsy,HSPA1B,505,0.0119,0.001,0.0119,0.0
56,NAFLD,needle_biopsy,stress_mod,505,0.4851,0.103,0.3426,0.0871
57,NASH w/o cirrhosis,needle_biopsy,FOS,470,0.0128,0.0055,0.0128,0.0
57,NASH w/o cirrhosis,needle_biopsy,JUN,470,0.083,0.0153,0.0745,0.0064
57,NASH w/o cirrhosis,needle_biopsy,JUNB,470,0.0574,0.0219,0.0574,0.0
57,NASH w/o cirrhosis,needle_biopsy,JUND,470,0.1915,0.0449,0.1702,0.0191
57,NASH w/o cirrhosis,needle_biopsy,ATF3,470,0.0489,0.0115,0.0447,0.0021
57,NASH w/o cirrhosis,needle_biopsy,DUSP1,470,0.0532,0.012,0.0511,0.0021
57,NASH w/o cirrhosis,needle_biopsy,HSPA1A,470,0.0426,0.0082,0.0404,0.0021
57,NASH w/o cirrhosis,needle_biopsy,HSPA1B,470,0.0085,0.0049,0.0085,0.0
57,NASH w/o cirrhosis,needle_biopsy,stress_mod,470,0.4979,0.1176,0.3596,0.0957
6,NAFLD,needle_biopsy,FOS,2811,0.0046,0.0012,0.0046,0.0
6,NAFLD,needle_biopsy,JUN,2811,0.0235,0.0049,0.0213,0.0021
6,NAFLD,needle_biopsy,JUNB,2811,0.0189,0.0024,0.0164,0.0021
6,NAFLD,needle_biopsy,JUND,2811,0.095,0.0161,0.085,0.0082
6,NAFLD,needle_biopsy,ATF3,2811,0.0309,0.0043,0.0281,0.0025
6,NAFLD,needle_biopsy,DUSP1,2811,0.1341,0.0205,0.1128,0.0164
6,NAFLD,needle_biopsy,HSPA1A,2811,0.0295,0.0062,0.0238,0.0021
6,NAFLD,needle_biopsy,HSPA1B,2811,0.0185,0.005,0.0157,0.0025
6,NAFLD,needle_biopsy,stress_mod,2811,0.355,0.0615,0.2579,0.0647
60,NAFLD,needle_biopsy,FOS,903,0.0,0.0,0.0,0.0
60,NAFLD,needle_biopsy,JUN,903,0.0144,0.0049,0.0144,0.0
60,NAFLD,needle_biopsy,JUNB,903,0.0066,0.0013,0.0066,0.0
60,NAFLD,needle_biopsy,JUND,903,0.0343,0.0169,0.0343,0.0
60,NAFLD,needle_biopsy,ATF3,903,0.0122,0.0033,0.0122,0.0
60,NAFLD,needle_biopsy,DUSP1,903,0.0354,0.0124,0.0343,0.0011
60,NAFLD,needle_biopsy,HSPA1A,903,0.0066,0.0033,0.0066,0.0
60,NAFLD,needle_biopsy,HSPA1B,903,0.01,0.0046,0.01,0.0
60,NAFLD,needle_biopsy,stress_mod,903,0.1196,0.046,0.1096,0.0089
62,NASH w/o cirrhosis,needle_biopsy,FOS,408,0.0,0.0,0.0,0.0
62,NASH w/o cirrhosis,needle_biopsy,JUN,408,0.0074,0.0,0.0074,0.0
62,NASH w/o cirrhosis,needle_biopsy,JUNB,408,0.0172,0.0116,0.0172,0.0
62,NASH w/o cirrhosis,needle_biopsy,JUND,408,0.0245,0.0089,0.0245,0.0
62,NASH w/o cirrhosis,needle_biopsy,ATF3,408,0.0319,0.0196,0.0294,0.0025
62,NASH w/o cirrhosis,needle_biopsy,DUSP1,408,0.0588,0.032,0.0539,0.0049
62,NASH w/o cirrhosis,needle_biopsy,HSPA1A,408,0.0074,0.0053,0.0049,0.0025
62,NASH w/o cirrhosis,needle_biopsy,HSPA1B,408,0.0025,0.0,0.0025,0.0
62,NASH w/o cirrhosis,needle_biopsy,stress_mod,408,0.1495,0.0765,0.125,0.0196
64,NASH w/o cirrhosis,needle_biopsy,FOS,750,0.0173,0.0042,0.0147,0.0027
64,NASH w/o cirrhosis,needle_biopsy,JUN,750,0.0933,0.0194,0.08,0.012
64,NASH w/o cirrhosis,needle_biopsy,JUNB,750,0.056,0.0087,0.0493,0.0053
64,NASH w/o cirrhosis,needle_biopsy,JUND,750,0.1147,0.0215,0.0973,0.0173
64,NASH w/o cirrhosis,needle_biopsy,ATF3,750,0.0467,0.0118,0.0453,0.0013
64,NASH w/o cirrhosis,needle_biopsy,DUSP1,750,0.0893,0.0118,0.0747,0.0107
64,NASH w/o cirrhosis,needle_biopsy,HSPA1A,750,0.0107,0.0014,0.0107,0.0
64,NASH w/o cirrhosis,needle_biopsy,HSPA1B,750,0.0093,0.0014,0.0093,0.0
64,NASH w/o cirrhosis,needle_biopsy,stress_mod,750,0.4373,0.0788,0.3107,0.0907
67,NASH w/o cirrhosis,needle_biopsy,FOS,1496,0.0,0.0,0.0,0.0
67,NASH w/o cirrhosis,needle_biopsy,JUN,1496,0.0481,0.016,0.0428,0.0053
67,NASH w/o cirrhosis,needle_biopsy,JUNB,1496,0.0094,0.0034,0.0094,0.0
67,NASH w/o cirrhosis,needle_biopsy,JUND,1496,0.0368,0.0153,0.0368,0.0
67,NASH w/o cirrhosis,needle_biopsy,ATF3,1496,0.0221,0.0071,0.0201,0.002
67,NASH w/o cirrhosis,needle_biopsy,DUSP1,1496,0.0287,0.0089,0.0274,0.0013
67,NASH w/o cirrhosis,needle_biopsy,HSPA1A,1496,0.0201,0.0059,0.0201,0.0
67,NASH w/o cirrhosis,needle_biopsy,HSPA1B,1496,0.0107,0.0032,0.0107,0.0
67,NASH w/o cirrhosis,needle_biopsy,stress_mod,1496,0.1758,0.0601,0.1517,0.0214
68,NASH with cirrhosis,needle_biopsy,FOS,518,0.0058,0.0011,0.0058,0.0
68,NASH with cirrhosis,needle_biopsy,JUN,518,0.0618,0.0233,0.056,0.0039
68,NASH with cirrhosis,needle_biopsy,JUNB,518,0.0193,0.0069,0.0193,0.0
68,NASH with cirrhosis,needle_biopsy,JUND,518,0.1486,0.0518,0.1255,0.0193
68,NASH with cirrhosis,needle_biopsy,ATF3,518,0.0425,0.0169,0.0386,0.0039
68,NASH with cirrhosis,needle_biopsy,DUSP1,518,0.0483,0.019,0.0425,0.0039
68,NASH with cirrhosis,needle_biopsy,HSPA1A,518,0.0193,0.0095,0.0174,0.0019
68,NASH with cirrhosis,needle_biopsy,HSPA1B,518,0.0135,0.0037,0.0135,0.0
68,NASH with cirrhosis,needle_biopsy,stress_mod,518,0.3591,0.1342,0.2664,0.0637
7,NASH w/o cirrhosis,needle_biopsy,FOS,2096,0.0005,0.0,0.0005,0.0
7,NASH w/o cirrhosis,needle_biopsy,JUN,2096,0.0611,0.0158,0.0549,0.0048
7,NASH w/o cirrhosis,needle_biopsy,JUNB,2096,0.0105,0.0027,0.01,0.0005
7,NASH w/o cirrhosis,needle_biopsy,JUND,2096,0.0725,0.0213,0.0644,0.0081
7,NASH w/o cirrhosis,needle_biopsy,ATF3,2096,0.0248,0.0048,0.0229,0.0019
7,NASH w/o cirrhosis,needle_biopsy,DUSP1,2096,0.1145,0.0245,0.1002,0.0134
7,NASH w/o cirrhosis,needle_biopsy,HSPA1A,2096,0.0477,0.0108,0.0429,0.0038
7,NASH w/o cirrhosis,needle_biopsy,HSPA1B,2096,0.0105,0.0038,0.0105,0.0
7,NASH w/o cirrhosis,needle_biopsy,stress_mod,2096,0.3421,0.0828,0.261,0.0606
70,NASH w/o cirrhosis,needle_biopsy,FOS,243,0.0041,0.0,0.0041,0.0
70,NASH w/o cirrhosis,needle_biopsy,JUN,243,0.1358,0.0195,0.1029,0.0247
70,NASH w/o cirrhosis,needle_biopsy,JUNB,243,0.0494,0.0113,0.0453,0.0041
70,NASH w/o cirrhosis,needle_biopsy,JUND,243,0.3086,0.0484,0.2469,0.0535
70,NASH w/o cirrhosis,needle_biopsy,ATF3,243,0.037,0.0062,0.0329,0.0041
70,NASH w/o cirrhosis,needle_biopsy,DUSP1,243,0.0576,0.0093,0.0535,0.0041
